segment_id,left_x0,left_y0,left_x1,left_y1,right_x1,right_y1,right_x0,right_y0
147,24.88269353873399,16.823241104867925,24.048920404919752,18.11236423868216,22.07171478048104,16.83706986312088,22.936281376671467,15.517153266930444
148,24.048920404919752,18.11236423868216,23.16352274517744,19.481392235181175,21.14290489847316,18.221229745128753,22.07171478048104,16.83706986312088
149,23.16352274517744,19.481392235181175,22.255400803245305,20.841167409881372,20.284844936984097,19.541972281407133,21.14290489847316,18.221229745128753
150,22.255400803245305,20.841167409881372,21.405390307732933,22.121944335868974,19.420503209932864,20.856041292596142,20.284844936984097,19.541972281407133
151,21.405390307732933,22.121944335868974,20.50028180313066,23.482402840471256,18.55625786123779,22.17392678236412,19.420503209932864,20.856041292596142
152,20.50028180313066,23.482402840471256,19.592892189811312,24.84733062884762,17.633766334786397,23.56471775094893,18.55625786123779,22.17392678236412
153,19.592892189811312,24.84733062884762,18.755097912163347,26.13828673143856,16.774435857823935,24.883776280023344,17.633766334786397,23.56471775094893
154,18.755097912163347,26.13828673143856,17.887516643541566,27.524859363505136,15.94278318999789,26.218501453604027,16.774435857823935,24.883776280023344
155,17.887516643541566,27.524859363505136,17.053372807970174,28.815761835631736,15.04921975154378,27.628076505566128,15.94278318999789,26.218501453604027
156,17.053372807970174,28.815761835631736,16.189620006899784,30.20711944023423,14.2161797970744,28.967217633755027,15.04921975154378,27.628076505566128
157,16.189620006899784,30.20711944023423,15.360976178748864,31.61400846485305,13.394535664912866,30.31209087407259,14.2161797970744,28.967217633755027
158,15.360976178748864,31.61400846485305,14.545273272358548,32.92144190372253,12.514116634059487,31.728007460399535,13.394535664912866,30.31209087407259
159,14.545273272358548,32.92144190372253,13.686221408552717,34.316123934058034,11.688960497916826,33.070850942341444,12.514116634059487,31.728007460399535
160,13.686221408552717,34.316123934058034,12.813919916615468,35.69708851120084,10.844465759365422,34.400940741990496,11.688960497916826,33.070850942341444
161,12.813919916615468,35.69708851120084,11.98920954534579,36.994327577936474,10.004907634966742,35.73412700863517,10.844465759365422,34.400940741990496
162,11.98920954534579,36.994327577936474,11.116325805726328,38.37673328237224,9.116411171273858,37.143023472328046,10.004907634966742,35.73412700863517
163,11.116325805726328,38.37673328237224,10.220986064526892,39.74645285301333,8.267835758950234,38.470146858510375,9.116411171273858,37.143023472328046
164,10.220986064526892,39.74645285301333,9.413203207055387,41.05742919603815,7.414451696017581,39.79469657845255,8.267835758950234,38.470146858510375
165,9.413203207055387,41.05742919603815,8.516964068570141,42.42607057503178,6.568372951087234,41.12216169251467,7.414451696017581,39.79469657845255
166,8.516964068570141,42.42607057503178,7.644222390065686,43.809115684362276,5.675029151779677,42.53432838149267,6.568372951087234,41.12216169251467
167,7.644222390065686,43.809115684362276,6.813116374094566,45.105668269507355,4.814726442918806,43.85422237603845,5.675029151779677,42.53432838149267
168,6.813116374094566,45.105668269507355,5.9405147592662715,46.490135996065014,3.9923760823634864,45.19430856123844,4.814726442918806,43.85422237603845
169,5.9405147592662715,46.490135996065014,5.06962245128291,47.86688011511653,3.094098338467941,46.602653939868375,3.9923760823634864,45.19430856123844
170,5.06962245128291,47.86688011511653,4.241124475499581,49.168170282634655,2.2391571670038157,47.92667268236736,3.094098338467941,46.602653939868375
