segment_id,s,ds,x,y,kappa,delta_kappa,width,d_left,d_right,delta_psi,psi,center_x,center_y,center_s,raceline_s,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_boundary_source,right_boundary_source,left_bd_idx,right_bd_idx
513,427.92799771608946,0.8614539278738675,-21.23824098054702,33.58461058257427,0.09794795243926038,-0.021933933271332647,2.353612429003361,0.5683258439267362,1.7852865850766246,0.1054332261383134,3.8685101885793785,-21.458484693676002,34.18799113275738,427.92799771608946,414.8068421434765,-20.862922733547222,33.157831283327695,-22.379415842314828,34.9588881745601,inner,outer,267,1735
514,428.78945164396333,0.7867286129364288,-21.839857377257562,33.00561283081606,0.09355044311178867,0.002266671453900409,2.347150420685727,0.6298027882371,1.717347632448627,0.09225291993407818,3.943852327195696,-22.062811234244364,33.57421829326523,428.78945164396333,415.6418821160434,-21.36425388432269,32.591450132552254,-23.091043627341996,34.182210389532926,inner,outer,264,1739
515,429.57618025689976,0.7814996909795013,-22.347700271035905,32.43709162329683,0.10168384075533213,0.002449284302478922,2.347760466441208,0.68166180375423,1.666098662686978,0.08413123082355498,4.015897684422181,-22.57239116518257,32.97505850747819,429.57618025689976,416.4044880060478,-21.81958773898196,32.00601627789297,-23.567267845967187,33.57588617090774,inner,outer,261,1742
516,430.35767994787926,0.7244147961138765,-22.813862770816645,31.84096379684292,0.0973914800792731,-0.02617372331538045,2.337070399243334,0.7316065730133536,1.6054638262299803,0.06892017567429956,4.0717438445957335,-23.023834082312895,32.33747023672383,430.35767994787926,417.162025303634,-22.228924297525023,31.401529719349895,-24.143734686636503,32.74322288962435,inner,outer,258,1746
517,431.08209474399314,0.963889905741496,-23.219369146352538,31.267924829490482,0.06226845163352699,-0.04210806491653462,2.350688795505758,0.8043106164968685,1.5463781790088893,0.04315176093743109,4.116503224486419,-23.40106665676199,31.71956909226439,431.08209474399314,417.8642280470436,-22.582534686636507,30.77396062564914,-24.525133369038628,32.09762064783631,inner,outer,255,1749
518,432.04598464973463,1.0181356200819778,-23.732469103912933,30.48631465110222,0.026300236094656457,-0.023455293590645226,2.3782985903675815,0.9250038996191217,1.4532946907484596,0.020816798446747765,4.142363332305927,-23.853124155274703,30.86847828668967,432.04598464973463,418.79856309898815,-23.00005374966082,29.914850267214103,-24.989384686636505,31.2184761749879,inner,outer,251,1753
519,433.0641202698166,0.989658504358431,-24.256741608462583,29.649571015291617,0.01577946102118443,-0.005326084495304771,2.3835323941675535,1.014846961408889,1.3686854327586644,0.011023766205992585,4.156497551224419,-24.31313457664473,29.96024332031869,433.0641202698166,419.78548057971864,-23.428184686636506,29.060135490891923,-25.44241868181502,30.334685335059905,inner,outer,247,1757
520,434.05377877417504,0.9773166311396722,-24.759858590778357,28.83254423872799,0.015606554938710378,-0.003303809520494496,2.365259249683174,1.138443221139846,1.226816028543328,0.007826617801529571,4.163818127974734,-24.747614317476597,29.071215160848233,434.05377877417504,420.744794111865,-23.818484686636506,28.18975062739713,-25.835034686636504,29.425868544114664,inner,outer,243,1761
521,435.0310954053147,1.0742168969600243,-25.251162016415478,28.02241606376779,0.009280949841949847,-0.007425095327167779,2.374572440764977,1.239911981741979,1.134660459022998,0.007632370887035514,4.171420278641547,-25.16246745025699,28.186583112092325,435.0310954053147,421.69214419809686,-24.22342431878748,27.325429698087433,-26.267709402359067,28.53364461451585,inner,outer,239,1765
522,436.10531230227474,1.050275070930354,-25.78415718787217,27.127503141884898,0.00037372292568929664,-0.01065149262978628,2.3601614844819467,1.331016908541308,1.0291445759406388,0.0024790048382058124,4.178996084167128,-25.60474794960448,27.207714488560487,436.10531230227474,422.73342338801507,-24.631214508496377,26.46228950837854,-26.680684686636503,27.63326091324143,inner,outer,235,1769
