segment_id,abs_kappa_01,abs_delta_kappa_01,abs_delta_psi_01,inv_d_inner_01,D_prior_local
316,0.0009666725,0.0014891267,5.161067e-05,0.11424041,-0.23536697
317,0.0003846132,0.00170812,0.00043131554,0.10770434,-0.23804839
318,0.00023920779,0.0016157266,0.00054163707,0.770738,0.022396335
319,0.0008706018,0.0014547558,0.0009796335,0.7622205,0.019606492
320,0.0014392671,0.0009614037,0.00070737157,0.76217127,0.019735426
321,0.0018156773,7.025359e-06,0.0012822226,0.7454506,0.013198265
322,0.0018111798,0.0007600537,0.0003894699,0.76005083,0.01897736
323,0.0015132338,0.00022199475,0.00052971294,0.7366047,0.009203442
324,0.0014249645,0.0010276571,0.00011921991,0.7467127,0.013333544
325,0.0018271932,0.001984375,9.0053065e-05,0.75685614,0.018082555
326,0.0026022461,0.0021507896,0.0025342936,0.74279606,0.014123871
327,0.0034421496,0.0012283517,0.001916417,0.75949377,0.020856664
328,0.003922587,0.0013540145,0.0024609494,0.7377542,0.012815608
329,0.00339318,0.0035855146,0.0016186642,0.7417283,0.014537055
330,0.001994177,0.0041903844,0.0009100569,0.7641211,0.022330804
331,0.00035946173,0.0032897736,0.0011044706,0.7563718,0.017642723
332,0.0008807156,0.0011690058,0.0013036409,0.13298911,-0.22798236
333,0.0013380265,0.0009413596,0.00056619005,0.11169881,-0.23605907
334,0.0009694272,0.0016131211,0.0004431623,0.12932551,-0.22946171
335,0.00033904845,0.001095251,0.0006349939,0.10951072,-0.23755552
336,4.59429e-05,0.0005511964,7.598097e-05,0.7869675,0.028117754
337,0.00026249906,0.00022284419,0.00028013685,0.79429764,0.031170698
338,0.00035109936,0.000117974414,0.00024534634,0.7849536,0.027451292
339,0.0003033659,0.0004481021,0.0005176365,0.8052378,0.035759393
340,0.00012698463,0.000808487,0.00081532315,0.78413796,0.027449952
341,0.00014625739,0.0013441003,0.0005960868,0.09407139,-0.24344021
342,0.0006718012,0.0017065537,0.00061630923,0.105938375,-0.23842876
343,0.0013385898,0.00088750006,0.0013583334,0.08730817,-0.24497223
344,0.0016862005,0.00059145637,0.0012334435,0.10309017,-0.2389257
345,0.0014539553,0.0018408581,1.9454339e-05,0.09388125,-0.24255745
346,0.0007348296,0.002253299,5.0021346e-05,0.0983094,-0.24126466
347,0.00010144287,0.0014303777,0.00096779794,0.8028775,0.03522738
